precision,recall,f1,f2
87.2848948374761,91.3,89.24731182795699,90.46769718588982
99.2964824120603,98.8,99.04761904761905,98.89889889889892
90.6093906093906,90.7,90.65467266366817,90.68186362727457
94.23660262891809,93.2,93.71543489190547,93.40549208258169
89.17073170731707,91.4,90.27160493827161,90.94527363184079
98.7,98.7,98.7,98.69999999999999
82.45989304812834,77.10000000000001,79.68992248062014,78.11550151975683
97.10867397806581,97.39999999999999,97.25411882176736,97.34159504297422
98.61111111111111,99.4,99.00398406374502,99.24121405750799
97.59519038076152,97.39999999999999,97.4974974974975,97.4389755902361
