precision,recall,f1,f2
86.30278063851699,83.8,85.0329781836631,84.28887547777106
90.25341130604289,92.60000000000001,91.4116485686081,92.12097095105453
74.83989021043,81.8,78.16531294792163,80.30630276850577
68.27906976744185,73.4,70.74698795180723,72.3152709359606
82.97435897435898,80.9,81.92405063291139,81.3065326633166
90.0709219858156,63.5,74.48680351906158,67.48140276301807
89.55532574974147,86.6,88.05287239450941,87.17535735856653
75.15873015873015,94.69999999999999,83.80530973451327,90.0190114068441
94.64692482915717,83.1,88.49840255591054,85.17835178351784
85.90476190476191,90.2,88.00000000000001,89.3069306930693
