precision,recall,f1,f2
82.96362023070097,93.5,87.91725434884813,91.18392822313244
99.1008991008991,99.2,99.1504247876062,99.18016396720655
88.68471953578336,91.7,90.16715830875123,91.08065156932858
94.55292908530318,92.0,93.2589964521034,92.49949728534084
89.43798449612403,92.30000000000001,90.84645669291339,91.71303656597776
99.09456740442656,98.5,98.79638916750251,98.61834201041249
86.40192539109506,71.8,78.42708902239212,74.31173670047608
96.26352015732547,97.89999999999999,97.07486365889935,97.56826788917678
99.09819639278558,98.9,98.998998998999,98.93957583033213
97.68378650553878,97.0,97.3406924234822,97.13599038654117
