precision,recall,f1,f2
64.11483253588517,67.0,65.52567237163815,66.40237859266601
74.53347969264544,67.9,71.06227106227105,69.13052331500712
49.35194416749751,49.5,49.42586120818772,49.4703178093144
44.26877470355731,44.800000000000004,44.53280318091451,44.692737430167604
55.10204081632652,56.699999999999996,55.889600788565794,56.37303638894411
48.9415749364945,57.8,53.003209536909665,55.78073730939973
72.11646136618141,64.4,68.04014791336502,65.80829756795423
63.77079482439926,69.0,66.28242074927954,67.8866587957497
76.45659928656362,64.3,69.85334057577403,66.41189836810575
63.70887337986042,63.9,63.80429355966051,63.86168299020588
