precision,recall,f1,f2
88.35341365461848,88.0,88.17635270541084,88.07045636509207
99.2992992992993,99.2,99.24962481240621,99.21984396879375
87.46411483253588,91.4,89.38875305623472,90.58473736372648
93.56136820925553,93.0,93.27983951855568,93.11173408089708
88.98467432950191,92.9,90.90019569471625,92.08961141950834
99.06639004149378,95.5,97.25050916496944,96.19258662369057
84.47136563876651,76.7,80.39832285115305,78.13773431132843
96.98795180722891,96.6,96.79358717434869,96.67734187349882
98.01587301587301,98.8,98.40637450199202,98.64217252396166
93.97705544933078,98.3,96.08993157380255,97.40388426476416
