precision,recall,f1,f2
70.70217917675545,58.4,63.96495071193867,60.505594695399914
70.40998217468805,79.0,74.45805843543826,77.11831315892229
59.481582537517056,43.6,50.317368724754765,46.05958166068033
43.77394636015325,45.7,44.71624266144814,45.30134813639968
54.420432220039295,55.400000000000006,54.90584737363727,55.20127540852929
54.52538631346579,49.4,51.83630640083945,50.34651447207501
72.1102863202545,68.0,69.99485331960885,68.78413918672871
59.70873786407766,73.8,66.01073345259391,70.47364400305577
68.31345826235093,80.2,73.78104875804968,77.50289911093931
68.13627254509018,68.0,68.06806806806807,68.02721088435375
