precision,recall,f1,f2
80.03731343283582,85.8,82.81853281853282,84.5820189274448
98.68951612903226,97.89999999999999,98.29317269076306,98.05689102564104
83.87458006718926,74.9,79.13365029054411,76.53791130185978
88.35143139190524,89.5,88.92200695479383,89.26790345102732
76.46017699115045,86.4,81.12676056338029,84.21052631578947
93.64928909952607,98.8,96.15571776155718,97.72502472799208
74.53347969264544,67.9,71.06227106227105,69.13052331500712
93.20866141732283,94.69999999999999,93.9484126984127,94.39792663476875
97.08249496981891,96.5,96.79037111334002,96.61593912695234
98.59307359307358,91.10000000000001,94.6985446985447,92.50609260763606
