precision,recall,f1,f2
82.03054806828392,91.3,86.41741599621392,89.28222178760022
99.69788519637463,99.0,99.34771700953337,99.13879431203686
79.89778534923339,93.8,86.29254829806808,90.64553536915345
93.53846153846153,91.2,92.35443037974684,91.65829145728644
88.09523809523809,85.1,86.57171922685656,85.68264196536448
99.07786885245902,96.7,97.87449392712551,97.16639871382637
87.13910761154857,66.4,75.3688989784336,69.71860562788746
95.33527696793003,98.1,96.69788072942335,97.53430105388745
97.534516765286,98.9,98.21251241310824,98.62385321100916
96.69338677354709,96.5,96.5965965965966,96.53861544617844
