precision,recall,f1,f2
90.69767441860465,85.8,88.18088386433709,86.7367569753336
99.59555106167846,98.5,99.04474610356964,98.7171777911405
91.97969543147208,90.60000000000001,91.28463476070529,90.87261785356071
86.46482635796973,97.1,91.47432878002827,94.76869022057389
88.68648130393096,92.5,90.55310817425355,91.71128296648818
98.12067260138477,99.2,98.65738438587768,98.98223907403711
83.69565217391305,77.0,80.20833333333334,78.25203252032522
98.67211440245148,96.6,97.62506316321374,97.00743121108657
99.79797979797979,98.8,99.2964824120603,98.99799599198394
97.14003944773175,98.5,97.81529294935453,98.22497008376544
