precision,recall,f1,f2
96.46017699115043,65.4,77.94994040524435,69.90166737922189
99.16317991631799,71.1,82.81887012230634,75.36569853720584
78.89502762430939,71.39999999999999,74.96062992125984,72.78287461773701
91.02167182662538,29.4,44.44444444444444,34.004163775156144
93.21192052980133,56.3,70.1995012468828,61.1424847958297
48.97330595482546,95.39999999999999,64.72184531886023,80.19502353732346
80.95238095238095,90.10000000000001,85.28159015617605,88.10874242127909
71.55378486055777,89.8,79.64523281596452,85.44243577545195
81.41745894554884,94.19999999999999,87.34353268428373,91.33216986620127
73.92307692307692,96.1,83.56521739130434,90.66037735849056
