precision,recall,f1,f2
82.43512974051896,82.6,82.51748251748253,82.56697321071572
99.18116683725691,96.89999999999999,98.02731411229135,97.34779987944545
78.24858757062147,83.1,80.60135790494665,82.0821809561438
88.4393063583815,91.8,90.08832188420021,91.10758237395792
79.03075489282386,84.8,81.81379643029426,83.57973585649518
98.15762538382803,95.89999999999999,97.01568032372282,96.34317862165965
76.25994694960212,57.49999999999999,65.56442417331813,60.47538914598233
93.14009661835749,96.39999999999999,94.74201474201473,95.72989076464746
90.12797074954297,98.6,94.1738299904489,96.780526109148
96.65991902834008,95.5,96.0764587525151,95.72975140336808
