precision,recall,f1,f2
68.5290763968073,60.099999999999994,64.03835908364411,61.61574738568791
70.19498607242339,75.6,72.79730380356283,74.45341737246406
51.634723788049605,45.800000000000004,48.54266030736619,46.85901370984244
42.080599812558575,44.9,43.444605708756654,44.30629563844484
57.210965435041714,48.0,52.20228384991844,49.59702417854929
49.21465968586388,47.0,48.08184143222506,47.426841574167504
63.114754098360656,77.0,69.36936936936937,73.75478927203065
61.28472222222222,70.6,65.61338289962823,68.51708074534162
78.2122905027933,70.0,73.87862796833772,71.50153217568948
66.44034917555771,68.5,67.4544559330379,68.07791691512621
