precision,recall,f1,f2
93.07411907654921,76.6,84.03730115194735,79.411154882853
97.13340683572216,88.1,92.39643418982696,89.76971673120033
72.12020033388981,86.4,78.6169244767971,83.10888803385917
56.4119170984456,87.1,68.4748427672956,78.55339105339105
95.30791788856305,65.0,77.28894173602853,69.41478000854335
91.73047473200613,59.9,72.47428917120386,64.36707500537288
81.28807658833769,93.4,86.92415076779898,90.6972227617013
89.85507246376811,86.8,88.30111902339777,87.3942811115586
89.40839694656488,93.7,91.50390625,92.80903328050714
89.61165048543688,92.30000000000001,90.93596059113301,91.74950298210737
