precision,recall,f1,f2
84.49848024316108,83.39999999999999,83.94564670357323,83.61740525365953
81.65529010238907,95.7,88.12154696132598,92.51740139211137
71.51898734177216,79.10000000000001,75.11870845204179,77.45789267528399
69.23076923076923,67.5,68.35443037974683,67.8391959798995
79.57610789980733,82.6,81.05986261040236,81.97697499007542
95.15503875968993,49.1,64.77572559366756,54.36226749335695
75.98078462770216,94.89999999999999,84.39306358381504,90.39817108020576
88.21689259645464,84.6,86.37059724349157,85.2994555353902
89.93089832181639,91.10000000000001,90.51167411823151,90.86375423897866
87.20812182741116,85.9,86.5491183879093,86.15847542627883
