precision,recall,f1,f2
63.88101983002833,90.2,74.7927031509121,83.33333333333333
72.97709923664122,95.6,82.77056277056278,90.01883239171376
78.19460726846424,66.7,71.99136535348084,68.72037914691943
76.56903765690377,18.3,29.539951573849883,21.58527954706299
81.31370328425821,71.8,76.26128518321826,73.52037681753019
70.86294416243655,69.8,70.32745591939546,70.01003009027082
87.12541620421753,78.5,82.5881115202525,80.08569679657214
79.15129151291514,85.8,82.34165067178503,84.38237608182534
64.62436177972283,88.6,74.73639814424293,82.47998510519456
87.11018711018711,83.8,85.4230377166157,84.44175735590488
